Lon,Lat
19.95272,50.06518
19.95260,50.06517
19.95270,50.06520
19.95268,50.06520
19.95263,50.06520
19.95262,50.06515
19.95272,50.06515
19.95262,50.06518
19.95268,50.06513
19.95265,50.06513
19.95260,50.06515
19.95263,50.06513
19.95270,50.06513
19.95268,50.06512
19.95267,50.06512
19.95268,50.06522
19.95275,50.06517
19.95265,50.06512
19.95263,50.06512
19.95262,50.06513
19.95260,50.06518
19.95273,50.06517
19.95273,50.06520
19.95265,50.06522
19.95258,50.06517
19.95270,50.06512
19.95267,50.06522
19.95272,50.06520
19.95272,50.06513
19.95273,50.06515
19.95262,50.06520
19.95273,50.06518
19.95257,50.06517
19.95275,50.06513
19.95275,50.06518
19.95260,50.06512
19.95262,50.06512
19.95277,50.06518
19.95268,50.06523
19.95272,50.06512
19.95267,50.06523
19.95273,50.06512
19.95257,50.06518
19.95277,50.06517
19.95270,50.06523
19.95263,50.06523
19.95258,50.06520
19.95260,50.06520
19.95275,50.06520
19.95273,50.06513
19.95260,50.06513
19.95265,50.06523
19.95258,50.06513
19.95275,50.06515
19.95258,50.06518
19.95270,50.06522
19.95263,50.06522
19.95257,50.06520
19.95277,50.06520
19.95260,50.06510
19.95262,50.06510
19.95275,50.06522
19.95263,50.06510
19.95265,50.06510
19.95262,50.06522
19.95258,50.06515
19.95272,50.06522
19.95272,50.06510
19.95273,50.06522
19.95270,50.06510
19.95273,50.06523
19.95272,50.06523
19.95267,50.06510
19.95262,50.06523
19.95268,50.06510
19.95255,50.06517
19.95278,50.06518
19.95275,50.06512
19.95277,50.06513
19.95277,50.06515
19.95257,50.06513
19.95258,50.06522
19.95257,50.06515
19.95268,50.06525
19.95278,50.06517
19.95258,50.06512
19.95260,50.06522
19.95255,50.06518
19.95278,50.06515
19.95273,50.06508
19.95260,50.06525
19.95280,50.06515
19.95253,50.06518
19.95277,50.06523
19.95275,50.06523
19.95270,50.06508
19.95280,50.06517
19.95255,50.06513
19.95253,50.06513
19.95280,50.06518
19.95272,50.06508
19.95263,50.06525
19.95267,50.06508
19.95278,50.06513
19.95262,50.06508
19.95270,50.06525
19.95272,50.06525
19.95267,50.06525
19.95273,50.06525
19.95253,50.06520
19.95257,50.06510
19.95280,50.06513
19.95265,50.06508
19.95258,50.06510
19.95265,50.06525
19.95263,50.06508
19.95260,50.06508
19.95262,50.06525
19.95268,50.06508
19.95253,50.06517
19.95255,50.06520
